text_id	sentence_id	sentence
ISEAR_83	83	"It was when I read a newspaper article on the future and they  
foresaw that we would be eating frog-burgers by the year 2000.   
An illustration showed a frog between two pieces of bread."
ISEAR_84	84	"When I dropped a bottle in the state liquor store and everyboby  
started laughing."
ISEAR_85	85	"When I was young - 14, I pinched from a store and was caught.   
The store then contacted my parents."
ISEAR_86	86	"When the whole family gets together for a one week holiday.   
Everybody feels free and the trip is well planned.  It works out  
well and we enjoy ourselves."
ISEAR_87	87	"When I could not find my 2 year old daughter.  I ran and looked  
for her everywhere and could not find her.  (I finally found her,  
she had gone to bed to sleep)"
ISEAR_88	88	When friends try to put me down or hurt me.  
ISEAR_89	89	Marriage crises.  Boredom.
ISEAR_90	90	When someone makes advances that one does not want.
ISEAR_91	91	The discovery that one has only thought of oneself.
ISEAR_92	92	When I spanked a child in anger and later regretted it terribly.
ISEAR_93	93	When I passed the first examination that I had to repeat.
ISEAR_94	94	"When I drove to Stockholm for the first time and drove off the  
Stora Hissingen road at the wrong exit."
ISEAR_95	95	When my boyfriend went away for a month long holiday without me.
ISEAR_96	96	"Last year when I worked during the Summer holidays and studied  
at the same time for an examination I had to repeat; my boyfriend  
went to Greece for a holiday for a month."
ISEAR_97	97	When a dog is left whining outside a shop.
ISEAR_98	98	"When I promised to help a friend over a weekend and did not keep  
the promise."
ISEAR_99	99	When I realized that I had three more examinations to take.
ISEAR_100	100	"The day I was told that I had been accepted as a student of  
economics."
ISEAR_101	101	"While taking a short cut through the Vasa park, I was surrounded  
by three people who tried to steal my money.  I was scared and  
was saved only by the appearance of other people."
ISEAR_102	102	"At a restaurant I observed how the gypsies tried to get money by  
cheating the foreigners i.e non Swedish speaking.  My anger had  
nothing to do with hatred against foreigners, but it was an  
expression of the anger I feel when I see people being used ."
ISEAR_103	103	"At the begining of a new course one is afraid of encountering  
problems one can not manage.  Thoughts revolve around failing  
the subject and the consequences it would have for the future."
ISEAR_104	104	"While walking in town I noticed how the police harrassed a man  
who was under the influence of alcohol.  They terrified him with  
the thought of arrest by driving close behind him on a pedestrian  
street.  My disgust was directed at the gestures and the facial  
expressions of the policemen; they seemed to be enjoying  
themselves."
ISEAR_105	105	"When my boyfriend revealed that he knew that I had discovered  
things of an important nature about him, I felt ashamed as I had  
not mentioned it earlier."
ISEAR_106	106	"When I am dishonest to a friend to whom I am very close.  I  
feel guilty because I know that he gives a different version of  
the truth and I have not corrected these mistakes, and he is  
aware that I know that they are wrong."
ISEAR_107	107	"When I found out that I had passed the last two exams by a  
margin of three marks."
ISEAR_108	108	When my father was ill and was waiting for the results of his tests.
ISEAR_109	109	"When I got caught in the pouring rain last Thursday and did not  
have a raincoat on me."
ISEAR_110	110	When I failed an exam.
ISEAR_111	111	"When I had not prepared my contribution to the group as  
thoroughly as the other members, with the result that the  
overall result was poor."
ISEAR_112	112	"When my father and I worked on the house just after he had  
recovered from illness, I was rather lazy.  This meant that he  
had to work hard and was not very well later."
ISEAR_113	113	"When I gave birth to my son and saw that he was alive and that I  
had managed it well.  He was born a month too early with a  
malfunctioning lung.  This happened a year ago."
ISEAR_114	114	"When I found out that my father had lung cancer and they did not  
know how long he would live."
ISEAR_115	115	"When a colleague asked me for help at work, despite the fact  
that he had more time to do it than I had."
ISEAR_116	116	"When I did not get the salary increase that I had been expecting  
and understood how little one's work was appreciated."
ISEAR_117	117	When I was weeding the garden I found a lizard in my hand.
ISEAR_118	118	"When I met a friend whom I had not seen for a long time and  
heard all about her troubles, I thought that I should have got  
in touch with her earlier."
ISEAR_119	119	"I got angry at my mother for something trivial.  We were in a  
bad mood because my father was very ill and I knew that my mother  
really needed support.  I had reacted wrongly."
ISEAR_120	120	"New year's eve 1983/1984, I met my girlfriend.  We stood on the  
steps outside her parents home and I kissed her for the  
first time."
ISEAR_121	121	"When I was stopped by plain clothes policemen because the car I  
was driving had overturned on the Avenue.  I had been driving too  
fast, and I was afraid when I was stopped, questionned and then  
toild to go.  The situation ended happily since there were no  
consequences."
ISEAR_122	122	"The editor changed the heading of an article that I had written.   
He considered the heading to be derogatory towards the person I had written  
about."
ISEAR_123	123	"A close acquaintance of the family died of lung cancer.   
Although it was expected, I still felt depressed."
ISEAR_124	124	"When I saw a picture, in the Gothenburg Post, of a totally  
demolished car with two fatally injured passengers.  The car was  
so badly damaged that they couldn't get the bodies out at the  
scene of the accident."
ISEAR_125	125	"One night I had a sexual intercourse with another man.  My sexual  
desire and my curiosity had made me jump into bed with him.  I am  
ashamed of myself now."
ISEAR_126	126	"Due to laziness, I failed the term studies completely at  
University.  I also wanted, to some extent, to protest against my  
parents' expectations."
ISEAR_127	127	When I got the loan for my studies.
ISEAR_128	128	"I met intoxicated people with dubious intentions in a back alley  
one Wednesday night."
ISEAR_129	129	"On the T.V I saw a news feature on South Africa.  A policeman       
attacked a group of black people with a whip."
ISEAR_130	130	"The thought of having to read a boring book of 400 pages in  
English."
ISEAR_131	131	Grovelling people.
ISEAR_132	132	My inability to assert myself positively in a group.
ISEAR_133	133	I experience feelings of guilt because I do not study enough.
ISEAR_134	134	"Observing someone in the cafeteria noisily gulping in his food,  
having extremely bad manners."
ISEAR_135	135	"I guess I have often been ashamed after having talked badly of  
other people."
ISEAR_136	136	Having been angry and unpleasant towards my parents.
ISEAR_137	137	"When my sister - after a history of one abortion and one  
stillbirth - gave birth to a perfectly healty boy."
ISEAR_138	138	"When my sister had the still born child, she was emotionally very  
deep down, and it took her a long time to recover."
ISEAR_139	139	"We were starting a student project, and the teacher we talked to  
was very negative and not very helpful."
ISEAR_140	140	When my boyfriend openly let me down, preferring another girl.
ISEAR_141	141	"I felt some disgust for my boyfriend for a time, after he had  
left me."
ISEAR_142	142	Can't think of any.
ISEAR_143	143	"Before an accident, my aunt offered me the front seat of the car,  
next to the driver. I declined, she took that seat and was killed  
there when the car crashed."
ISEAR_144	144	"Unexpected visit by a close friend, whom I hadn't seen for half a  
year."
ISEAR_145	145	"I wandered by mistake into the safety zone of a shooting range,  
and was shot at."
ISEAR_146	146	Being treated unfairly.
ISEAR_147	147	Breaking up with a girl.
ISEAR_148	148	Nothing.
ISEAR_149	149	None.
ISEAR_150	150	Little contact with my father before he died.
ISEAR_151	151	"When I was accepted as a student at the college, not having  
thought it possible."
ISEAR_152	152	"When I was the first to arrive at the scene after an accident,  
and found that a close school friend had been killed."
ISEAR_153	153	"I was accused of having done something, which I hadn't and got  
very angry."
ISEAR_154	154	When my grandmother died.
ISEAR_155	155	Not applicable.
ISEAR_156	156	"A couple of years ago during the summer holiday, I was fishing at  
a lake with my husband.  Suddenly it started raining while the  
sun was still shining. I experienced a feeling of joy, happiness  
and fulfillment.  the whole nature was full of music."
ISEAR_157	157	"I was alone at home, in bed reading a womens' magazine in which  
there were storiees of paranormal experiences.  My leg was  
itching and I stretched my hand to scratch and I felt another  
strange hand. (later I realized that it was the corner of the  
blanket)"
ISEAR_158	158	"I went to a lecture and once again it had been cancelled, this  
was the second time.  One had a negative attitude towards the  
lecturer. 
"
ISEAR_159	159	"I heard that a former superior of mine had died, I was later at  
home home reading about it in the newspaper and I thought of our  
interaction and how it was no longer possible.  The limited scope  
of human life is sad."
ISEAR_160	160	"In the tram there was a fat, sickly looking woman in front of me  
who was asking for directions in a thick voice.  When she got up to  
go a disgusting smell of urine came from her.  I felt that I  
would choke."
ISEAR_161	161	"When we were at home, my husband and I, he made a remark about  
something I had done, in a perfectly friendly manner.  My deed  
had been unjust and I knew that my husband was right, therefore my  
sense of shame."
ISEAR_162	162	"I made a remark to my sister concerning her attitude to men, the  
way she talked and I compared her to an acquaintance of mine.   
Later, the same evening, my sister looked sad.  I felt guilty  
about her sadness."
ISEAR_163	163	"I had a summer job in Sweden, and my boyfriend came to meet me on  
my birthday."
ISEAR_164	164	"I went to practice in Sweden during summer, and I was afraid that  
I would not do well."
ISEAR_165	165	"In the holiday cottage of our association, two of my pals came to  
wake me up early one morning by bringing a radio played at the  
highest volume into my room - it was the morning service at its  
loudest."
ISEAR_166	166	My grandmother died suddenly last summer.
ISEAR_167	167	"My superior at the summer job swindled customers as much as he  
could, and once put me in a difficult situation after which I  
could not but detest him."
ISEAR_168	168	"Once I arrived two hours late to my work place (a bank) and I was  
still feeling feeble and tired."
ISEAR_169	169	"Our association had Polish visitors and when they were going back  
by boat I did not go to see them off (I am the chairman of the  
association)."
ISEAR_170	170	"I was told quite unexpectedly that one wanted me to become the  
vice-chairman of our student organisation.  I was really  
surprised and joy was the first emotion I felt, though behind it  
there was worry - how shall I succeed ?"
ISEAR_171	171	"Our tutorial group was soon to be divided, and we got a list of  
names of freshmen, out of which five were to be in my group.  We  
read the names and then each group went its own way to a seminar  
room.  I wondered how I would cope with the new situation and if  
I would succeed as a group leader."
ISEAR_172	172	"We were in a disco and the evening was not at all pleasant.   
Despite my not knowing why, I was angry with my companion.  I let  
him feel my bad humour as I cannot hide my feelings."
ISEAR_173	173	"My grandmother died, and my mother called me one sunday morning  
in the Autumn.  The way my mother told me about it, I hated her  
at that moment.  She sounded as if she had been waiting for the  
death of my grandmother.  I had lost a person close to me.  I  
felt guilty too as I had been bad to my grandmother of late.  I had not  
remained calm when she no longer understood everything so well."
ISEAR_174	174	"At the underground station, a drunkard came to speak to me.  He  
tried to ask me something but I did not answer so he began to  
speak about me with his companion.  I detested this dirty  
growling man."
ISEAR_175	175	"I was worried by a task related to my studies which had to be  
done in groups of two.  I was talking about it to my friends when  
I said something negative, in too abrupt a manner, concerning my  
work partner.  I did not quite mean what I said and I felt  
ashamed at having been mean enough to criticize him as he is also  
a friend of mine."
ISEAR_176	176	"I had told my boyfriend that I did not want to go on with our  
relationship.  I knew that I was important to him but I wanted to  
be free.  I saw that this was difficult for him but I remained  
firm and did not change my mind."
ISEAR_177	177	"Last night I had a chat with a fellow student.  I had known her  
for about half a year, and for the first time we were speaking  
""the same language""- meaning an inspiring discussion and  
encounter."
ISEAR_178	178	"[ I sometimes quarrel with my mother because she blames me,  
though I have not in any way been connected to some events.]"
ISEAR_179	179	"After hearing about the death of my grandfather.  First I could  
not believe it, but later I wept and felt the situation was  
hopeless.  I felt lonely and wanted to be consolated."
ISEAR_180	180	"In the evening, while I was watching TV, my little brother came  
in and started eating food he had brought from the kitchen while  
I was trying to concentrate on the program."
ISEAR_181	181	"My little brother was arrested by the police at the railway station after  
he had drunk some beer."
ISEAR_182	182	"At my temporary job, I have to restrict  others' actions and make  
them obey me, and this very often gives me  a feeling of guilt.  I  
wish there could be some other way of acting."
ISEAR_183	183	"I met a dear friend of mine after a long time.  I expressed my feelings  
in our own usual way, by mutual scolding and abusing (with  
complete understanding) and by touching, patting and taking the  
hand of the other person, etc..."
ISEAR_184	184	"I felt fear of the purest kind after a car accident.  The  
incident and images of horror kept coming back to my mind.  I  
wondered what could have happened to my sister, my friend and me,  
though nothing very serious actually happened."
ISEAR_185	185	"Two boys whom I know were telling me, in an indecent manner, how  
they had teased a young and shy girl I know.  They had despised  
her conviction, scorned and touched her.  I got very angry and  
did not try to conceal it and gave it back to them."
ISEAR_186	186	"My sweetheart left me, or rather we decided to break it off by  
mutual consent.  The consequences were - unrestrained weeping,  
feelings of loneliness, hopelessness and disconsolation.  I felt  
that I should find a friend, to talk to joyfully and to forget."
ISEAR_187	187	"Out of sheer curiosity, I went to see a pornographic movie in  
Copenhagen.  The room was full of men, who panted and  
masturbated.  Very disgusting."
ISEAR_188	188	"After having quarelled unnecessarily and without any reason, and  
having been stupidly cross in every way."
ISEAR_189	189	Forced to fill in a questionnaire.
ISEAR_190	190	When I won a tennis match.
ISEAR_191	191	When my dog ran out on thin ice last spring.
ISEAR_192	192	"When my tennis match was interrupted because a kid cycled right  
into the court."
ISEAR_193	193	"Celebrations on the graduation day with the orchestra playing in  
the garden ( I am a part of this orchestra)."
ISEAR_194	194	Risk of being involved in a fight after a party.
ISEAR_195	195	"I had a very heavy work load and two colleagues, whom I have  
nothing against, disturbed me by ""terror ringing"", i.e  
continously interrupting me by telephoning."
ISEAR_196	196	After an exam which I failed.
ISEAR_197	197	"When I overtook a car on the mainroad, misjudging the distance of  
an oncoming car and this resulted in tooting and flashing from  
the other driver (we could have collided), and I had an  
acquaintance in the car with me."
ISEAR_198	198	"I saw a neighbour, from the same appartment block as me, lying     
on the road.  He could have been injured or ill.  I kept 20  
metres away and did not go to help him."
ISEAR_199	199	When I met an old schhol friend (school love).
ISEAR_200	200	"When I was cycling to school, I nearly got knocked down by a car  
which (overtook me too closely) did not give me any swerving space."
ISEAR_201	201	"When I was deputy manager during the Summer, certain deputies  
took liberties, more than what was normal."
ISEAR_202	202	"When I realized that my girlfriend, whom I like, and I were going  
to separate."
ISEAR_203	203	Dog dirt which thaws in the spring.
ISEAR_204	204	When I forgot my mother's birthday.
ISEAR_205	205	[ Can not think of anything just now.]
ISEAR_206	206	Passed the last exam.
ISEAR_207	207	Was nearly knocked down by a car.
ISEAR_208	208	"I reached the bus stop and realized that I had forgotten my bus  
pass."
ISEAR_209	209	"My current work load is too much.  The feeling comes back from  
time to time."
ISEAR_210	210	When my one year old son gives me a spontaneous kiss.
ISEAR_211	211	When someone close to me is travelling by car and is delayed.
ISEAR_212	212	When someone does something wrong which affects me negatively.
ISEAR_213	213	When I think about my parents getting old.
ISEAR_214	214	"I do not have the time for other people's problems.  My  
mother-in-law is sometimes depressed and I do not have the time,  
the desire or the strength to help."
ISEAR_215	215	"An ex-colleague asked me if I was interested in working in their  
accounts bureau.  They needed ""clever people"" and he had  
""immediately thought of me."""
ISEAR_216	216	"I was driving and a deer suddenly appeared in front of the  
car when there was a lot of traffic behind me."
ISEAR_217	217	I saw a report on T.V news on apartheid in South Africa. 
ISEAR_218	218	When my girlfriend became pregnant.
ISEAR_219	219	When I nearly collided with another car.
ISEAR_220	220	The time when someone let the air out of the tyres of my cycle.
ISEAR_221	221	When I read a lot and did not remember anything.
ISEAR_222	222	The time that I had to put my dog to sleep.
ISEAR_223	223	Long illness.
ISEAR_224	224	When I passed an exam.
ISEAR_225	225	"When I was travelling by tram, I tripped and fell against the  
door.  I thought that I was going to fall out."
ISEAR_226	226	When I missed the tram after having run for it.
ISEAR_227	227	The inability to read a book at college.
ISEAR_228	228	If a guy one is not interested in makes advances.
ISEAR_229	229	I drink wine too often.
ISEAR_230	230	I do not study enough as I do not understand it properly.
ISEAR_231	231	"I worked at a lawyer's office during Summer and I got a very  
good reference from him."
ISEAR_232	232	"I had been watching a triller a dark night in the country and I  
had to go the outside toilet on my own. "
ISEAR_233	233	"When I am accused of something I have not done, I get unbelievably  
angry."
ISEAR_234	234	"When I began to read a thick book, which I had a limited time to  
read.  Also when I have a lot of work to do and I cannot keep up."
ISEAR_235	235	Someone vomited on the street.
ISEAR_236	236	"I can not think of any incident when I have felt very ashamed.   
There are small incidents that I am ashamed of, for instance,  
not sending money to the children in Ethiopia."
ISEAR_237	237	"I had lunch with my ex-boyfriend and did not mention it to my  
fiancee.  I felt guilty despite the fact that I felt nothing for  
my ex-boyfriend."
ISEAR_238	238	When I was finally qualified for my profession.
ISEAR_239	239	Someone attacked me with a knife.
ISEAR_240	240	Someone drove into my car and then denied that it had happened.
ISEAR_241	241	When I was told that my friend's wife had cancer.
ISEAR_242	242	When I saw a dog which had been knocked down by a car.
ISEAR_243	243	When I boxed my child's ears.
ISEAR_244	244	When I was fined for speeding.
ISEAR_245	245	I stopped working (had a boring job).
ISEAR_246	246	"I was going home by car late one night when it was cold, dark and  
windy.  I became rather panicky on the way to my house."
ISEAR_247	247	Quarrel in the family.
ISEAR_248	248	"When I am alone in a room with no contact with anyone -  
loneliness drains me."
ISEAR_249	249	When I was on holiday someone vomited in front of me.
ISEAR_250	250	Emptied a bucket of water in a hospital.
ISEAR_251	251	When I feigned sick leave from work.
ISEAR_252	252	When I get a hug from someone I love.
ISEAR_253	253	"I was driving very fast on a small road and I met an oncoming car  
in a right handed bend.  The other driver was on his own side of  
the road and I had to skid out of it to avoid a collision.  It  
was dark."
ISEAR_254	254	"My car had been towed away by the traffic police because it had  
been wrongly parked.  However the sign had been put up only after  
I had already parked."
ISEAR_255	255	After an operation I had to stay in bed for a long time.
ISEAR_256	256	"I was forced to stay in the canteen and eat the food that I had  
not asked for but got it anyway."
ISEAR_257	257	When I did not buy what I had promised to.
ISEAR_258	258	"By mistake I took a book from the library which was not supposed  
to be loaned out."
ISEAR_259	259	When I won an unexpected sum of money.
ISEAR_260	260	"My 2 year old daughter disappeared in a moment of inattention; I  
was responsible for her."
ISEAR_261	261	"A colleague asked me for some advice and as he did not have  
enough confidence in me he asked a third person."
ISEAR_262	262	"I wanted to be pregnant and did not succeed, so I was depressed     
at every menstruation."
ISEAR_263	263	"In a warm bus full of people, someone vomited and the whole bus  
stank."
ISEAR_264	264	"I complained about a colleague's behaviour as she goes back on  
her word, is often absent and is irresponsible.  I found out that  
she was an alcoholic and was trying to fight againt her  
addiction."
ISEAR_265	265	"I spoke to my mother on the phone.  She had skin cancer and was  
waiting to be operated.  I forgot to ask her the date of the  
operation and just before finishing our conversation she gave me  
the date in passing. "
ISEAR_266	266	"When I was at a party I met an old friend from an adult  
education course.  We had not met for 2 years but had both thought  
a lot about each other.  A wonderful experience. 
"
ISEAR_267	267	"When I was cycling through the park late one night, two people  
jumped out of the woods and tried to stop me.  There were  
shouting something at the same time."
ISEAR_268	268	"When close relatives tried to dissuade me from studying  
Psychology because of its low status."
ISEAR_269	269	"I had a long discussion on politics with an acquaintance.  He  
was more knowledgeable than me and I failed to explain my point  
of view and was misunderstood so I felt depressed and left."
ISEAR_270	270	"When I read a newspaper article on a young girl who had been  
raped and assaulted one night by several men when she was unconscious."
ISEAR_271	271	"My mother revealed personal details about me and the  
negative aspects of my character to other people when I was  
present but unable to defend myself."
ISEAR_272	272	"I was unfaithful to my partner once when he was working abroad  
for a long period."
ISEAR_273	273	When I recently got an appartment in central Gottenburg.
ISEAR_274	274	When I saw a large spider crawling up the wall.
ISEAR_275	275	"My employer took too many aspirins for a bad back and also drank  
an enormous amount of spirit.  This was dangerous  and he did  
not understand that he had done anything wrong."
ISEAR_276	276	When I left New York, and all my family and my friends behind me.
ISEAR_277	277	"When I slept with a guy because my best friend wanted me to.   
He had never had intercourse with anyone and had a terrible  
complex about it."
ISEAR_278	278	"When I dated a close girlfriend's boyfriend a few times. He told  
me that it was over between them and I accepted it.  When she  
found out she finished our friendship."
ISEAR_279	279	"When I broke off with my boyfriend after three years.  It was  
quite unexpected for him and there was no particular reason for  
the break up, such as someone else."
ISEAR_280	280	"When my son returned from mountaineering - healthy in body and  
soul."
ISEAR_281	281	"When one meets new people with whom one is forced to collaborate  
with."
ISEAR_282	282	"The sports fishermen who catch gulls instead of fish with their hooks.  
  It is often a mistake but it makes me angry."
ISEAR_283	283	I feel sad about an event I can not influence.
ISEAR_284	284	"When a member of the family complains about the food that is  
served, it disgusts me."
ISEAR_285	285	"I have chosen to put my son in a private school were the  
examination marks are low.  Every time that he gives me his term  
results I am left with a sense of guilt."
ISEAR_286	286	"When I was informed that I had been accepted as a student of  
Psychology."
ISEAR_287	287	"When I was in a little fishing boat and we ran into hard weather  
in the open sea."
ISEAR_288	288	"When I found out that the guy I was dating at a particular time  
had a steady relationship going on with someone else for a long  
time."
ISEAR_289	289	I felt sad and depressed when I heard that our cat had died.
ISEAR_290	290	"When I was working as a nurse in a mental hospital, a patient ate  
up the contents of another patient's spitoon."
ISEAR_291	291	"At primary school, when I vomited in front of others in the middle   
of a lesson."
ISEAR_292	292	"I arrived an hour late for an important meeting ( I had  
misunderstood the time)."
ISEAR_293	293	When I was acceptted as a student of psychology.
ISEAR_294	294	When my son has a pain in his leg (for no apparent reason).  
ISEAR_295	295	"When, after a week at school, a teacher sent a note home saying  
that my son was inattentive and unable to do his lessons."
ISEAR_296	296	"When I thought that it was going to be impossible for me to start  
studying (due to wrong information from the student advisor)."
ISEAR_297	297	"At a certain person's lack of cleanliness, at home and  
personally."
ISEAR_298	298	"When I made the same mistake that I had accused someone else of, and  
this was obvious to a third pereson."
ISEAR_299	299	When I lost something that was valuable to my sister.
ISEAR_300	300	When my son was born.
ISEAR_301	301	"When I nearly drowned in icy water wearing ice skates.  It was  
difficult to get out."
ISEAR_302	302	"When I was pointed out as a problem child in primary school and  
my mother took the teacher's point of view."
ISEAR_303	303	When I was accused of neglecting work for the wrong reasons.
ISEAR_304	304	"My parents attitude towards each other when they should become  
reconciled, despite my father's long-time addiction."
ISEAR_305	305	When I was caught stealing money from my father.
ISEAR_306	306	"I stole a coconut cake from a reception table and when I put  
in my mouth I realized that the host was watching me."
ISEAR_307	307	"When after 10 months of national service I was ""downgraded"" and  
did not have to do the remaining 5 months."
ISEAR_308	308	"When I was reprimanded by the manager of the hotel where I  
worked during Autumn 1984."
ISEAR_309	309	"When my parents drove me to a nearby place and went home  
immediately instead of waiting a few hours.  They could have  
easily waited."
